DevType,Top_LanguageHaveWorkedWith,Top_DatabaseHaveWorkedWith,Top_PlatformHaveWorkedWith,Top_WebframeHaveWorkedWith,MedianWorkExp,MedianComp
"Developer, mobile","Kotlin, Swift, JavaScript, Java, HTML/CSS","SQLite, PostgreSQL, MySQL, Cloud Firestore, Firebase Realtime Database","Firebase, Homebrew, Gradle, Docker, npm","React, Node.js, Next.js, Express, jQuery",10.0,69609.0
"Developer, back-end","SQL, JavaScript, Python, Bash/Shell (all shells), HTML/CSS","PostgreSQL, Redis, MySQL, SQLite, Microsoft SQL Server","Docker, Amazon Web Services (AWS), npm, Kubernetes, Pip","Node.js, React, Spring Boot, ASP.NET Core, FastAPI",10.0,78890.0
"Developer, front-end","JavaScript, HTML/CSS, TypeScript, Bash/Shell (all shells), SQL","PostgreSQL, MySQL, MongoDB, SQLite, MariaDB","npm, Docker, Vite, Webpack, Yarn","React, Node.js, Next.js, Express, Angular",8.0,63808.0
Engineering manager,"JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Redis, MySQL, SQLite, Elasticsearch","Docker, npm, Amazon Web Services (AWS), Pip, Kubernetes","React, Node.js, Next.js, jQuery, Express",16.0,135000.0
"Developer, full-stack","JavaScript, HTML/CSS, SQL, TypeScript, Python","PostgreSQL, MySQL, SQLite, Microsoft SQL Server, Redis","Docker, npm, Amazon Web Services (AWS), Vite, Pip","Node.js, React, jQuery, ASP.NET Core, Next.js",10.0,72000.0
"Architect, software or solutions","JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Microsoft SQL Server, SQLite, MySQL, Redis","Docker, npm, Amazon Web Services (AWS), Pip, Microsoft Azure","Node.js, React, ASP.NET Core, Angular, jQuery",19.0,100000.0
Data engineer,"Python, SQL, Bash/Shell (all shells), JavaScript, HTML/CSS","PostgreSQL, Microsoft SQL Server, MySQL, SQLite, BigQuery","Docker, Pip, Amazon Web Services (AWS), Microsoft Azure, Terraform","FastAPI, Flask, React, Node.js, Django",10.0,81210.0
"Developer, embedded applications or devices","C, Python, C++, Bash/Shell (all shells), JavaScript","SQLite, PostgreSQL, MySQL, MariaDB, Microsoft SQL Server","Docker, Make, Pip, Ninja, APT","Node.js, React, Flask, Vue.js, jQuery",10.0,81210.0
"Developer, game or graphics","C++, C#, Python, JavaScript, HTML/CSS","SQLite, PostgreSQL, MySQL, MongoDB, MariaDB","Docker, npm, Pip, NuGet, Make","Node.js, React, Vue.js, jQuery, Svelte",10.0,70794.0
AI/ML engineer,"Python, SQL, Bash/Shell (all shells), JavaScript, HTML/CSS","PostgreSQL, SQLite, MySQL, Redis, MongoDB","Docker, Pip, Amazon Web Services (AWS), npm, Google Cloud","FastAPI, React, Node.js, Flask, Next.js",7.5,90500.0
"Senior executive (C-suite, VP, etc.)","JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Redis, SQLite, MySQL, MariaDB","Docker, npm, Amazon Web Services (AWS), Pip, Google Cloud","Node.js, React, Next.js, WordPress, ASP.NET Core",20.0,125786.0
Academic researcher,"Python, Bash/Shell (all shells), HTML/CSS, C, C++","SQLite, PostgreSQL, MySQL, MariaDB, MongoDB","Docker, Pip, Make, npm, APT","Node.js, React, jQuery, Flask, Django",6.0,40302.5
"Developer, desktop or enterprise applications","SQL, JavaScript, Python, HTML/CSS, C#","Microsoft SQL Server, SQLite, PostgreSQL, MySQL, Oracle","Docker, npm, NuGet, MSBuild, Microsoft Azure","Node.js, ASP.NET Core, React, ASP.NET, jQuery",15.0,73768.0
"Founder, technology or otherwise","JavaScript, HTML/CSS, SQL, Python, TypeScript","PostgreSQL, SQLite, Redis, MySQL, MongoDB","Docker, npm, Amazon Web Services (AWS), Pip, Homebrew","Node.js, React, Next.js, Express, FastAPI",17.0,99247.0
"Developer, AI apps or physical AI","Python, JavaScript, HTML/CSS, SQL, Bash/Shell (all shells)","PostgreSQL, SQLite, MySQL, Redis, MongoDB","Docker, Pip, npm, Amazon Web Services (AWS), Google Cloud","Node.js, React, FastAPI, Flask, Next.js",9.0,65009.0
Cloud infrastructure engineer,"Bash/Shell (all shells), Python, Go, JavaScript, SQL","PostgreSQL, Redis, MySQL, SQLite, Elasticsearch","Docker, Kubernetes, Terraform, Amazon Web Services (AWS), Pip","Node.js, React, Flask, FastAPI, Express",10.0,109866.0
DevOps engineer or professional,"Bash/Shell (all shells), Python, SQL, JavaScript, HTML/CSS","PostgreSQL, MySQL, Redis, SQLite, Elasticsearch","Docker, Kubernetes, Pip, npm, Terraform","Node.js, React, FastAPI, Flask, Angular",12.0,91198.0
Data or business analyst,"SQL, Python, HTML/CSS, JavaScript, Bash/Shell (all shells)","Microsoft SQL Server, MySQL, PostgreSQL, SQLite, Microsoft Access","Pip, Docker, Amazon Web Services (AWS), Microsoft Azure, Make","Node.js, Flask, jQuery, React, ASP.NET",8.0,60000.0
Project manager,"JavaScript, SQL, HTML/CSS, Python, Bash/Shell (all shells)","PostgreSQL, Microsoft SQL Server, SQLite, MySQL, MariaDB","Docker, npm, Amazon Web Services (AWS), Microsoft Azure, Pip","Node.js, React, jQuery, Angular, WordPress",15.0,57087.0
Data scientist,"Python, SQL, Bash/Shell (all shells), HTML/CSS, R","PostgreSQL, SQLite, MySQL, Microsoft SQL Server, MongoDB","Docker, Pip, Amazon Web Services (AWS), Microsoft Azure, Google Cloud","FastAPI, Flask, Node.js, React, Django",8.0,87011.0
Cybersecurity or InfoSec professional,"Python, Bash/Shell (all shells), JavaScript, C, SQL","PostgreSQL, SQLite, MySQL, MariaDB, Elasticsearch","Docker, Pip, Amazon Web Services (AWS), Make, npm","Node.js, Flask, React, FastAPI, Django",8.0,105000.0
Applied scientist,"Python, Bash/Shell (all shells), C++, HTML/CSS, JavaScript","PostgreSQL, SQLite, MongoDB, Redis, MySQL","Docker, Pip, Amazon Web Services (AWS), Make, npm","Flask, Node.js, FastAPI, Vue.js, jQuery",11.0,100552.5
"Developer, QA or test","Python, JavaScript, Bash/Shell (all shells), HTML/CSS, SQL","PostgreSQL, MySQL, Microsoft SQL Server, SQLite, MongoDB","Docker, Pip, npm, Amazon Web Services (AWS), Kubernetes","Node.js, React, Spring Boot, Angular, Flask",10.0,67108.0
Database administrator or engineer,"SQL, Python, JavaScript, Bash/Shell (all shells), HTML/CSS","Microsoft SQL Server, PostgreSQL, MySQL, Oracle, SQLite","Docker, Amazon Web Services (AWS), Microsoft Azure, Pip, npm","Node.js, jQuery, React, WordPress, ASP.NET",18.0,85769.0
Product manager,"JavaScript, SQL, HTML/CSS, Python, TypeScript","PostgreSQL, Microsoft SQL Server, SQLite, MySQL, MongoDB","Amazon Web Services (AWS), Docker, Microsoft Azure, npm, Google Cloud","React, jQuery, Node.js, Angular, ASP.NET Core",16.0,93357.0
Support engineer or analyst,"Python, JavaScript, SQL, HTML/CSS, Bash/Shell (all shells)","PostgreSQL, MySQL, SQLite, Microsoft SQL Server, MariaDB","Docker, npm, Pip, Google Cloud, Amazon Web Services (AWS)","Node.js, React, jQuery, Next.js, AngularJS",10.0,68071.0
System administrator,"SQL, JavaScript, Bash/Shell (all shells), Python, HTML/CSS","MySQL, PostgreSQL, MariaDB, Microsoft SQL Server, SQLite","Docker, Pip, npm, Amazon Web Services (AWS), APT","Node.js, jQuery, React, WordPress, Vue.js",8.0,46406.0
"UX, Research Ops or UI design professional","HTML/CSS, JavaScript, TypeScript, PHP, Python","Cloud Firestore, PostgreSQL, MySQL, MongoDB, Firebase Realtime Database","npm, Webpack, Homebrew, Netlify, Amazon Web Services (AWS)","React, Node.js, WordPress, Vue.js, Next.js",12.0,93806.0
Financial analyst or engineer,"Python, SQL, C++, Bash/Shell (all shells), HTML/CSS","MySQL, PostgreSQL, Microsoft SQL Server, DuckDB, SQLite","Amazon Web Services (AWS), Pip, Docker, npm, NuGet","React, Node.js, FastAPI, Flask, Express",10.0,146500.0
